"id_camda"|"orden"|"tipo"|"inicio_ejecucion"|"duracion"|"tamano"
"71325"|"2"|"Automatica"|"2026-07-11 03:47:08.021261-03:00"|"0:12:42.882195"|"871212"
"71324"|"2"|"Automatica"|"2026-07-11 03:34:56.425211-03:00"|"0:12:11.596050"|"355328"
"71323"|"2"|"Automatica"|"2026-07-11 03:22:46.056759-03:00"|"0:12:10.368452"|"666498"
"71322"|"2"|"Automatica"|"2026-07-11 03:15:37.561368-03:00"|"0:07:08.495391"|"370914"
"71321"|"2"|"Automatica"|"2026-07-11 03:03:12.000881-03:00"|"0:12:25.560487"|"314288"
"71320"|"2"|"Automatica"|"2026-07-11 02:48:57.604055-03:00"|"0:14:14.396826"|"435305"
"71319"|"2"|"Automatica"|"2026-07-11 02:29:55.577673-03:00"|"0:19:02.026382"|"898884"
"71318"|"2"|"Automatica"|"2026-07-11 02:05:50.579340-03:00"|"0:24:04.998333"|"932313"
"71317"|"2"|"Automatica"|"2026-07-11 01:47:35.867910-03:00"|"0:18:14.711430"|"826771"
"71316"|"2"|"Automatica"|"2026-07-11 01:24:36.863801-03:00"|"0:22:59.004109"|"885282"
"71315"|"2"|"Automatica"|"2026-07-11 01:04:19.792253-03:00"|"0:20:17.071548"|"662886"
"71314"|"2"|"Automatica"|"2026-07-11 00:43:35.001875-03:00"|"0:20:44.790378"|"473879"
"71313"|"2"|"Automatica"|"2026-07-11 00:29:44.376620-03:00"|"0:13:50.625255"|"690895"
"71312"|"2"|"Automatica"|"2026-07-11 00:18:42.062620-03:00"|"0:11:02.314000"|"736568"
"71311"|"2"|"Automatica"|"2026-07-10 23:55:03.933958-03:00"|"0:23:38.128662"|"1922264"
"71310"|"3"|"Automatica"|"2026-07-10 23:25:07.579157-03:00"|"0:29:56.354801"|"3463326"
"71310"|"1"|"Manual"|"2026-07-10 23:16:15-03:00"|"0:08:52.579157"|"3463326"
"71309"|"2"|"Automatica"|"2026-07-10 22:55:40.024216-03:00"|"0:20:34.975784"|"1545179"
"71308"|"2"|"Automatica"|"2026-07-10 22:43:53.548984-03:00"|"0:11:46.475232"|"351199"
"71307"|"2"|"Automatica"|"2026-07-10 22:32:11.639656-03:00"|"0:11:41.909328"|"267032"
"71306"|"2"|"Automatica"|"2026-07-10 22:21:48.667457-03:00"|"0:10:22.972199"|"305580"
"71305"|"2"|"Automatica"|"2026-07-10 22:10:24.318066-03:00"|"0:11:24.349391"|"265317"
"71304"|"2"|"Automatica"|"2026-07-10 22:03:31.921424-03:00"|"0:06:52.396642"|"607022"
"71303"|"2"|"Automatica"|"2026-07-10 21:55:31.312815-03:00"|"0:08:00.608609"|"189554"
"71302"|"2"|"Automatica"|"2026-07-10 21:45:24.223055-03:00"|"0:10:07.089760"|"298178"
"71301"|"2"|"Automatica"|"2026-07-10 21:31:16.575922-03:00"|"0:14:07.647133"|"324192"
"71300"|"2"|"Automatica"|"2026-07-10 21:19:00.495801-03:00"|"0:12:16.080121"|"493256"
"71299"|"3"|"Automatica"|"2026-07-10 21:05:12.607557-03:00"|"0:13:47.888244"|"278271"
"71299"|"1"|"Manual"|"2026-07-10 21:00:53-03:00"|"0:04:19.607557"|"278271"
"71298"|"2"|"Automatica"|"2026-07-10 20:49:14.098668-03:00"|"0:11:38.901332"|"476820"
"71297"|"2"|"Automatica"|"2026-07-10 20:36:30.135656-03:00"|"0:12:43.963012"|"564617"
"71296"|"2"|"Automatica"|"2026-07-10 20:25:38.635332-03:00"|"0:10:51.500324"|"574904"
"71295"|"2"|"Automatica"|"2026-07-10 20:08:18.202457-03:00"|"0:17:20.432875"|"688244"
"71294"|"2"|"Automatica"|"2026-07-10 19:55:07.901003-03:00"|"0:13:10.301454"|"550284"
"71293"|"2"|"Automatica"|"2026-07-10 19:40:45.304143-03:00"|"0:14:22.596860"|"641762"
"71292"|"3"|"Automatica"|"2026-07-10 19:26:02.928917-03:00"|"0:14:42.375226"|"670917"
"71292"|"1"|"Manual"|"2026-07-10 19:20:59-03:00"|"0:05:03.928917"|"670917"
"71291"|"2"|"Automatica"|"2026-07-10 19:07:32.485679-03:00"|"0:13:26.514321"|"631858"
"71290"|"2"|"Automatica"|"2026-07-10 18:52:22.990935-03:00"|"0:15:09.494744"|"386953"
"71289"|"3"|"Automatica"|"2026-07-10 18:39:04.335858-03:00"|"0:13:18.655077"|"309967"
"71289"|"1"|"Manual"|"2026-07-10 18:35:05-03:00"|"0:03:59.335858"|"309967"
"71288"|"2"|"Automatica"|"2026-07-10 18:24:51.261239-03:00"|"0:10:13.738761"|"414599"
"71287"|"3"|"Automatica"|"2026-07-10 18:15:58.800622-03:00"|"0:08:52.460617"|"283687"
"71287"|"1"|"Manual"|"2026-07-10 18:11:57-03:00"|"0:04:01.800622"|"283687"
"71286"|"2"|"Automatica"|"2026-07-10 17:56:34.260343-03:00"|"0:15:22.739657"|"520842"
"71285"|"2"|"Automatica"|"2026-07-10 17:47:38.205837-03:00"|"0:08:56.054506"|"407399"
"71284"|"3"|"Automatica"|"2026-07-10 17:38:26.562356-03:00"|"0:09:11.643481"|"441161"
"71284"|"1"|"Manual"|"2026-07-10 17:33:50-03:00"|"0:04:36.562356"|"441161"
"71283"|"2"|"Automatica"|"2026-07-10 17:23:31.874478-03:00"|"0:10:18.125522"|"496706"
"71282"|"3"|"Automatica"|"2026-07-10 17:09:26.192088-03:00"|"0:14:05.682390"|"317526"
"71282"|"1"|"Manual"|"2026-07-10 17:04:30-03:00"|"0:04:56.192088"|"317526"
"71281"|"2"|"Automatica"|"2026-07-10 16:56:02.556403-03:00"|"0:08:27.443597"|"316183"
"71280"|"2"|"Automatica"|"2026-07-10 16:46:27.073476-03:00"|"0:09:35.482927"|"509183"
"71279"|"2"|"Automatica"|"2026-07-10 16:38:24.357062-03:00"|"0:08:02.716414"|"310165"
"71278"|"2"|"Automatica"|"2026-07-10 16:24:12.476707-03:00"|"0:14:11.880355"|"663981"
"71277"|"2"|"Automatica"|"2026-07-10 16:12:27.228291-03:00"|"0:11:45.248416"|"501184"
"71276"|"2"|"Automatica"|"2026-07-10 15:54:13.215614-03:00"|"0:18:14.012677"|"303603"
"71275"|"2"|"Automatica"|"2026-07-10 15:45:21.589176-03:00"|"0:08:51.626438"|"344746"
"71274"|"2"|"Automatica"|"2026-07-10 15:34:57.177940-03:00"|"0:10:24.411236"|"314786"
"71273"|"2"|"Automatica"|"2026-07-10 15:24:31.582164-03:00"|"0:10:25.595776"|"426731"
"71272"|"2"|"Automatica"|"2026-07-10 15:12:24.242347-03:00"|"0:12:07.339817"|"299078"
"71271"|"2"|"Automatica"|"2026-07-10 14:58:05.341490-03:00"|"0:14:18.900857"|"284621"
"71270"|"2"|"Automatica"|"2026-07-10 14:45:26.885744-03:00"|"0:12:38.455746"|"317155"
"71269"|"2"|"Automatica"|"2026-07-10 14:29:30.209981-03:00"|"0:15:56.675763"|"557199"
"71268"|"2"|"Automatica"|"2026-07-10 14:16:58.801945-03:00"|"0:12:31.408036"|"569438"
"71267"|"2"|"Automatica"|"2026-07-10 14:05:30.936070-03:00"|"0:11:27.865875"|"447509"
"71266"|"2"|"Automatica"|"2026-07-10 13:53:31.946196-03:00"|"0:11:58.989874"|"427824"
"71265"|"2"|"Automatica"|"2026-07-10 13:39:17.081505-03:00"|"0:14:14.864691"|"301765"
"71264"|"2"|"Automatica"|"2026-07-10 13:29:30.806075-03:00"|"0:09:46.275430"|"320312"
"71263"|"2"|"Automatica"|"2026-07-10 13:20:37.902486-03:00"|"0:08:52.903589"|"338483"
"71262"|"2"|"Automatica"|"2026-07-10 13:13:06.658526-03:00"|"0:07:31.243960"|"172296"
"71261"|"2"|"Automatica"|"2026-07-10 13:06:59.493832-03:00"|"0:06:07.164694"|"215578"
"71260"|"2"|"Automatica"|"2026-07-10 13:00:19.015847-03:00"|"0:06:40.477985"|"300754"
"71259"|"2"|"Automatica"|"2026-07-10 12:54:25.190211-03:00"|"0:05:53.825636"|"220539"
"71258"|"2"|"Automatica"|"2026-07-10 12:46:25.401683-03:00"|"0:07:59.788528"|"570272"
"71257"|"2"|"Automatica"|"2026-07-10 12:34:50.751773-03:00"|"0:11:34.649910"|"773279"
"71256"|"2"|"Automatica"|"2026-07-10 12:23:48.700526-03:00"|"0:11:02.051247"|"682632"
"71255"|"2"|"Automatica"|"2026-07-10 12:13:57.295619-03:00"|"0:09:51.404907"|"665729"
"71254"|"2"|"Automatica"|"2026-07-10 12:07:05.357735-03:00"|"0:06:51.937884"|"438244"
"71253"|"2"|"Automatica"|"2026-07-10 11:46:51.832160-03:00"|"0:20:13.525575"|"308971"
"71252"|"2"|"Automatica"|"2026-07-10 07:57:48.665902-03:00"|"3:49:03.166258"|"280907"
"71251"|"3"|"Automatica"|"2026-07-10 07:52:12.823843-03:00"|"0:05:35.842059"|"439255"
"71251"|"1"|"Manual"|"2026-07-10 07:46:26-03:00"|"0:05:46.823843"|"439255"
"71250"|"3"|"Automatica"|"2026-07-10 07:38:06.800287-03:00"|"0:08:19.199713"|"302530"
"71250"|"1"|"Manual"|"2026-07-10 07:27:21-03:00"|"0:10:45.800287"|"302530"
